City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kambove,-10.8764,26.5969,64.54,79,86,2.91,CD,1619372785
gravdal,68.1214,13.5031,37.4,60,75,8.05,NO,1619372785
carthage,36.8611,10.3316,68.0,49,20,11.5,TN,1619372785
omboue,-1.5746,9.2618,79.7,81,28,6.02,GA,1619372614
luleburgaz,41.4039,27.3592,48.2,81,75,13.8,TR,1619372786
port antonio,18.18,-76.4612,84.2,74,20,18.41,JM,1619372786
saint-francois,46.4154,3.9054,66.2,42,0,6.91,FR,1619372787
miles city,46.4083,-105.8406,46.4,66,75,5.75,US,1619372787
bara,10.3744,10.7288,93.18,27,95,3.62,NG,1619372787
viedma,-40.8135,-62.9967,67.26,38,2,7.09,AR,1619372788
eureka,40.8021,-124.1637,50.0,90,93,4.0,US,1619372543
marion,39.7684,-86.1555,57.0,54,20,14.97,US,1619372676
kamenka,51.3223,42.7678,45.0,44,36,8.1,RU,1619372641
shelburne,44.0787,-80.2041,44.01,79,97,21.36,CA,1619372711
fallon,39.4735,-118.7774,51.8,40,90,4.61,US,1619372788
priladozhskiy,59.85,31.4833,37.0,76,100,7.67,RU,1619372789
nouadhibou,20.931,-17.0347,71.6,64,0,24.16,MR,1619372789
kyshtovka,56.555,76.6271,42.24,60,100,8.21,RU,1619372789
utinga,-5.8172,-35.3954,86.0,66,40,14.97,BR,1619372789
charleston,32.7766,-79.9309,73.99,68,90,8.05,US,1619372739
wajir,1.7471,40.0573,88.83,43,84,5.06,KE,1619372790
prince george,53.9166,-122.753,48.0,28,1,12.66,CA,1619372508
mazagao,-0.115,-51.2894,84.2,79,75,10.36,BR,1619372790
monroe,43.1501,-77.6831,53.6,71,75,11.5,US,1619372791
leshukonskoye,64.8989,45.7622,41.11,91,100,5.95,RU,1619372791
sayat,38.7839,63.8803,77.0,23,0,9.22,TM,1619372792
sortavala,61.7053,30.6918,42.15,92,100,10.83,RU,1619372792
abu dhabi,24.4667,54.3667,87.8,54,90,6.91,AE,1619372760
khash,28.2211,61.2158,74.7,26,80,7.02,IR,1619372792
pitimbu,-7.4706,-34.8086,86.0,66,20,12.66,BR,1619372793
la ronge,55.1001,-105.2842,37.4,38,100,12.66,CA,1619372793
grants pass,42.439,-123.3284,48.2,76,90,1.54,US,1619372793
sarny,51.338,26.6019,38.41,55,87,4.81,UA,1619372794
sakakah,29.9697,40.2064,87.8,15,40,19.57,SA,1619372619
mayo,38.8876,-76.5119,63.0,63,90,9.22,US,1619372693
gouyave,12.1646,-61.7296,84.2,65,20,26.46,GD,1619372794
rossosh,51.1209,38.5116,41.99,66,56,7.05,RU,1619372795
muros,42.7762,-9.0603,64.0,75,100,3.0,ES,1619372471
rosetta,31.4044,30.4164,66.2,77,40,13.8,EG,1619372795
canavieiras,-15.675,-38.9472,82.96,63,26,9.13,BR,1619372795
manbij,36.5281,37.9549,77.0,27,99,12.73,SY,1619372796
golden gate,26.1879,-81.6951,90.0,74,20,10.36,US,1619372796
ngorongoro,-3.2397,35.4875,54.32,90,74,2.3,TZ,1619372796
cravo norte,6.3017,-70.2041,97.92,32,78,8.77,CO,1619372797
tortoli,39.9256,9.6572,62.6,82,0,9.22,IT,1619372797
terrace,54.5163,-128.6035,46.4,46,1,10.36,CA,1619372510
conceicao do araguaia,-8.2578,-49.2647,80.6,74,0,8.05,BR,1619372798
shuya,56.8487,41.3883,35.65,81,100,17.45,RU,1619372798
guider,9.9342,13.9486,84.92,48,72,10.07,CM,1619372642
korsor,55.3299,11.1386,45.0,44,2,8.01,DK,1619372798
cape coast,5.1053,-1.2466,82.71,77,100,9.35,GH,1619372799
stephenville,32.2207,-98.2023,75.2,50,1,13.8,US,1619372625
aswan,24.0934,32.907,92.91,8,0,8.63,EG,1619372352
camopi,3.1655,-52.3158,78.58,95,94,4.29,GF,1619372799
tigre,-34.426,-58.5796,68.0,60,75,9.22,AR,1619372569
kailua,21.4022,-157.7394,75.2,69,75,9.22,US,1619372613
girne,35.3417,33.3167,69.8,56,0,6.91,CY,1619372800
marienburg,54.0359,19.0266,39.0,75,87,7.47,PL,1619372800
sikonge,-5.6333,32.7667,75.2,64,40,4.29,TZ,1619372801
jedburgh,55.48,-2.552,52.0,65,9,1.99,GB,1619372801
carnarvon,-24.8667,113.6333,64.4,88,1,9.22,AU,1619372801
jawhar,2.7809,45.5005,81.88,73,63,11.5,SO,1619372802
gogrial,8.5332,28.1004,79.03,62,86,9.46,SS,1619372802
buchanan,5.8808,-10.0467,86.0,74,20,9.22,LR,1619372802
coihueco,-36.6167,-71.8333,66.2,52,0,10.36,CL,1619372803
pochutla,15.7432,-96.4661,91.0,58,75,11.5,MX,1619372522
tonj,7.2737,28.6822,78.53,67,99,2.37,SS,1619372803
sosnogorsk,63.6023,53.8817,43.02,73,100,11.1,RU,1619372804
makueni,-1.8041,37.6203,67.46,77,79,1.14,KE,1619372804
aktash,50.3,87.7333,5.5,86,27,3.15,RU,1619372804
kassala,15.451,36.4,95.83,17,22,1.7,SD,1619372805
sangamner,19.5667,74.2167,89.11,28,87,10.18,IN,1619372805
polyarnyye zori,67.3661,32.4981,32.0,100,99,16.82,RU,1619372806
otumba,19.7,-98.75,77.0,33,40,3.44,MX,1619372806
iquitos,-3.7481,-73.2472,87.8,70,40,5.75,PE,1619372807
greifswald,54.1,13.3833,39.04,59,24,10.25,DE,1619372807
magole,-6.3667,37.3667,73.4,94,75,1.43,TZ,1619372808
gamba,-2.65,10.0,79.47,84,80,5.82,GA,1619372808
chapada dos guimaraes,-15.4606,-55.7497,77.0,83,75,3.44,BR,1619372809
coahuayana,18.7333,-103.6833,90.79,35,97,7.58,MX,1619372463
apache junction,33.4151,-111.5496,86.0,12,1,8.05,US,1619372809
boa vista,2.8197,-60.6733,78.8,83,75,5.75,BR,1619372809
chervishevo,56.9464,65.4278,50.0,34,0,11.18,RU,1619372810
polohy,47.4844,36.2536,47.26,48,81,1.14,UA,1619372810
mutis,6.2262,-77.4044,84.83,72,79,5.75,CO,1619372810
tutoia,-2.7619,-42.2744,87.8,70,20,13.8,BR,1619372811
sooke,48.3746,-123.7276,48.99,93,100,6.91,CA,1619372811
rena,61.1348,11.3641,41.0,54,95,4.0,NO,1619372811
ugoofaaru,5.6667,73.0,84.36,70,9,6.08,MV,1619372812
de land,29.0283,-81.3031,84.99,57,40,10.36,US,1619372770
aklavik,68.2191,-135.0107,21.2,79,20,12.66,CA,1619372694
povenets,62.8487,34.8262,43.9,82,68,10.83,RU,1619372812
honningsvag,70.9821,25.9704,35.6,69,75,11.5,NO,1619372813
nivala,63.9167,24.9667,33.01,93,100,5.99,FI,1619372813
palmer,42.1584,-72.3287,53.6,76,90,6.91,US,1619372814
nove hrady,48.7896,14.7784,48.0,41,74,1.99,CZ,1619372814
ascension,30.2169,-90.9001,75.99,49,1,4.61,US,1619372815
esil,51.9556,66.4042,53.19,66,72,10.38,KZ,1619372815
carutapera,-1.195,-46.02,83.16,75,84,6.71,BR,1619372815
srivardhan,18.0333,73.0167,81.36,84,52,2.3,IN,1619372816
bakchar,57.0186,82.0711,32.81,96,100,2.75,RU,1619372563
tucuman,-26.8241,-65.2226,71.6,60,40,5.75,AR,1619372816
kabompo,-13.5927,24.2008,70.12,57,83,3.76,ZM,1619372816
boca do acre,-8.7522,-67.3978,91.27,55,61,1.59,BR,1619372817
sao filipe,14.8961,-24.4956,71.82,75,97,10.07,CV,1619372817
koson,39.0375,65.585,66.2,39,0,9.22,UZ,1619372817
snezhnogorsk,69.1933,33.2531,33.8,75,75,11.18,RU,1619372818
kaoma,-14.7833,24.8,67.32,65,99,3.44,ZM,1619372818
pudozh,61.8099,36.5345,43.65,88,65,4.72,RU,1619372818
arroyo,41.6096,-4.7969,59.0,82,20,5.75,ES,1619372818
lagunas,-5.2269,-75.6753,91.65,49,78,3.11,PE,1619372819
puntarenas,9.9763,-84.8384,82.4,51,0,17.27,CR,1619372819
beeskow,52.1667,14.25,50.0,34,40,9.22,DE,1619372820
antsohihy,-14.8796,47.9875,74.05,91,82,1.92,MG,1619372820
uglovskoye,51.3557,80.1942,45.09,42,98,11.07,RU,1619372821
port-cartier,50.0334,-66.8654,46.99,49,20,16.11,CA,1619372821
fuerte olimpo,-21.0415,-57.8738,72.5,77,100,8.81,PY,1619372821
otjiwarongo,-20.4637,16.6477,67.55,31,31,2.08,NA,1619372631
constitucion,-35.3333,-72.4167,65.53,57,0,14.14,CL,1619372822
kapoeta,4.7717,33.5903,81.12,51,100,6.22,SS,1619372822
khor,47.8861,134.9464,30.94,42,15,5.57,RU,1619372822
belleville,44.1788,-77.3705,55.4,62,75,16.11,CA,1619372823
tazovskiy,67.4667,78.7,7.41,96,42,8.16,RU,1619372823
kenda,23.2,86.5333,85.48,18,57,1.39,IN,1619372824
jalu,29.0331,21.5482,72.27,42,0,15.84,LY,1619372824
iskitim,54.6366,83.3045,41.0,48,88,4.47,RU,1619372824
tallahassee,30.4383,-84.2807,77.0,46,1,11.5,US,1619372825
redlands,34.0556,-117.1825,64.0,67,90,6.93,US,1619372825
constantine,36.365,6.6147,78.8,29,0,2.3,DZ,1619372826
bengkulu,-3.8004,102.2655,77.18,86,98,4.68,ID,1619372826
susanville,40.4163,-120.653,46.4,36,90,11.5,US,1619372826
plattsburgh,44.6995,-73.4529,59.0,51,90,5.75,US,1619372827
road town,18.4167,-64.6167,84.2,61,40,11.5,VG,1619372684
